城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
贵州,黔南鸳鸯湖,,0,154,134,贵州·黔南·荔波县,"107.692112,25.254609",置身其间，有如仙境,FALSE,贵州省黔南布依族苗族自治州荔波县
贵州,九洞天,,3.7,40,104,贵州·毕节·毕节市,"105.289445,27.29413","九洞天风景名胜区由九个洞天排列在一起，组成“一字长蛇阵”，每个洞天由一水、一洞、一天组合而成，全长3.5公里,宽0.5公",FALSE,贵州省毕节市
贵州,第四届中国绿化博览会都匀绿博园,,0,30,98,贵州·黔南·都匀市,"107.544737,26.264779",第四届绿博会在贵州省黔南州都匀市举办。这是绿博会第一次在中国西部、第一次在少数民族地区、第一次在地州级城市和第一次在高原,FALSE,贵州省黔南布依族苗族自治州都匀市青云湖大道中段东侧
贵州,龙里水乡旅游生态城,,0,40,98,贵州·黔南·龙里县,"106.926583,26.445429","《龙乡水里 · 贵秀》中国     首   个 5G 旅游演艺剧院
《龙乡水里 · 贵秀》每天将在龙乡水里 · 贵秀剧场",FALSE,贵州省龙里县龙里水乡旅游生态城
贵州,镇远青龙洞,3A,3.7,55.9,96,贵州·黔东南·镇远,"108.440226,27.055462",山势挺拔，峭壁悬崖；巨岩、洞穴融为一体,FALSE,贵州省黔东南苗族侗族自治州镇远县舞阳镇
贵州,四季贵州山地温泉水世界,,0,138,86,贵州·贵阳,"106.469883,26.56421",极地冰雪，水上乐园，打造属于你的欢乐世界,FALSE,贵阳市清镇市百马大道与清州大道交汇处
贵州,红云金顶,,0,187,84,贵州·铜仁·梵净山,"108.62114121107,27.946472500349",晨间红云瑞气常饶四周，人称红云金顶,FALSE,贵州省铜仁地区印江土家族苗族自治县 梵净山国家级自然保护区
贵州,红果树风景区,,0,50,82,贵州·遵义·绥阳县,"107.299599,28.010285",养生游、探险游、避暑游的理想之地,FALSE,贵州省遵义市绥阳县大路槽乡
贵州,岜沙苗寨,,3.9,40,78,贵州·黔东南·从江县,"108.873228,25.726854",为数不多的苗族风情景点之一,FALSE,贵州省黔东南从江县岜沙苗寨
贵州,黔灵公园,4A,4.6,0.37,78,贵州·贵阳·云岩区,"106.700343,26.60699",追逐嬉闹，悠然自得，顿生无限情趣,FALSE,贵州省贵阳市云岩区枣山路187号
贵州,都匀秦汉影视城,,0,30,76,贵州·黔南·都匀市,"107.624281,26.247328",都匀汉唐影城占地900亩，由230多栋秦汉时期为主的古建筑组成，包括内城主体“两宫殿一祭坛”和外城的“四区五府”，其中一,FALSE,黔南布依族苗族自治州都匀市都凯大道
贵州,下司古镇,,3.5,45,76,贵州·黔东南·麻江县,"107.81043161073,26.52156702558",黔湘川水陆通衢，六百年清江风华,FALSE,贵州省黔东南苗族侗族自治州麻江县下司镇内
贵州,四洞沟风景区,,3.6,67,72,贵州·遵义·赤水游客中心,"105.654949,28.474733",万竹之园，小家碧玉，没有败笔的景区,FALSE,贵州省遵义赤水市赤水风景名胜区内
贵州,森哒星生态度假公园,,0,56,72,贵州·贵阳·贵安新区,"106.443937,26.378834",真正的家庭型自然探索生态度假公园,FALSE,贵州贵安新区黔中路与北斗湖之路交汇处云漫湖国际旅游休闲度假区内
贵州,云门囤,4A,3.5,35,72,贵州·遵义·遵义县,"107.288176,27.652213",荡荡白步中，水石互吐吞,FALSE,贵州省遵义市遵义县团堡村
贵州,舞阳河,,0,35,66,贵州·黔东南·镇远,"108.475921,27.121609",钟情山水，值得一去的舞阳河,FALSE,贵州省黔东南镇远镇远县
贵州,息烽温泉,,3.6,130,62,贵州·贵阳·息烽县,"106.862949,27.212028",全国著名八大温泉之一,FALSE,贵州省贵阳市息烽县城东北40千米处
贵州,小七孔古桥,,0,154,60,贵州·黔南·小七孔景区,"107.752165,25.25501",小七孔古桥位于荔波小七孔景区北部，建于道光十五年（1836年），景区因此桥而得名。几百年来它经过多次洪水冲击依然泰然屹立,FALSE,黔南布依族苗族自治州荔波县荔波风景区小七孔景区内
贵州,甲茶,,0,47.5,60,贵州·黔南·平塘县,"107.207533,25.635078",山、水、洞、竹、石集为一体各自特点鲜明,FALSE,贵州省黔南布依族苗族自治州平塘县
贵州,九丰海底世界,,0,58,54,贵州·铜仁·铜仁市,"109.173339,27.478046",与萌宠海底动物来一次近距离接触,FALSE,贵州省铜仁市万山区高楼坪乡大树林村九丰农业博览园景区
贵州,仙人街景区,,0,140,46,贵州·铜仁·铜仁市,"108.171216,27.54055",仙人街历史文化底蕴厚重，有神话般的传说，有奇异的仙人脚印、仙人桌、仙人酒杯石、仙人泉等特色资源。南面罕见的茫茫大草原，森,FALSE,铜仁市石阡县龙井乡关口坪村满家寨
贵州,贵州醇景区,,0,30,42,贵州·黔西南·兴义市,"104.882452,25.072275",娱乐表演、餐饮购物于一体的大型主题乐园,FALSE,贵州省兴义市贵醇新路1号贵州醇景区
贵州,织金大峡谷,,0,105,40,贵州·毕节·织金县,"105.930887,26.769256",织金洞连接东风湖的纽带，典型喀斯特景观,FALSE,贵州省毕节织金县官寨乡
贵州,《多彩贵州风》演出,,0,198,40,贵州·贵阳·南明区,"106.726604,26.569773",一场赏心悦目享誉全国的视听盛宴,FALSE,贵州省贵阳市南明区新华路212号
贵州,双乳峰景区,,0,49.8,38,贵州·黔西南·贞丰县,"105.656499,25.492689",亲近自然、放飞快乐、休闲度假的绝佳之地,FALSE,贵州省黔西南布依族苗族自治州贞丰县者相镇双乳峰风景区
贵州,朱砂古镇（万山国家矿山公园）,4A,0,58,38,贵州·铜仁·万山区,"109.230977,27.536149",堪称地下长城，规模宏大、世界罕见,FALSE,铜仁市万山区万山镇土坪社区
贵州,潜龙洞,,0,66,36,贵州·铜仁·松桃苗族自治县,"108.850095,28.104937",大自然的鬼斧神工带给你的视觉震撼,FALSE,贵州省铜仁市松桃县乌罗镇黔龙村
贵州,万峰湖,,3.5,60,34,贵州·黔西南·兴义市,"105.037973,24.956305",万峰绕湖，适宜的气候，四季可游,FALSE,万峰湖景区旅游码头（黔西南布依族苗族自治州兴义市长冲村八组）
贵州,镇远石屏山,,0,26,34,贵州·黔东南·镇远县,"108.325675,27.064424",石崖绝壁高千仞，“端直苍阔如屏风”,FALSE,贵州省黔东南州镇远县舞阳镇舞阳河东侧
贵州,贵州九仙国际旅游度假区,,0,60,34,贵州·安顺·关岭县,"105.546711,25.916586",典型的地底喀斯特侵蚀风貌,FALSE,贵州省关岭县永宁镇贵州九仙国际旅游度假区
贵州,佛顶山温泉小镇,,0,118,32,贵州·铜仁·石阡县,"108.197108,27.464488",,FALSE,铜仁市石阡县中坝镇
贵州,十二背后-地下裂缝景区,,0,50,32,贵州·遵义·绥阳县,"107.09416,28.1839",翡翠山水 涤荡心灵,FALSE,贵州省遵义市绥阳县
贵州,九天温泉,,0,89,32,贵州·铜仁·铜仁市,"108.259574,27.975423",伴随着乌江水，尽情吸收天然的九天养生精髓,FALSE,贵州省铜仁市思南县城北新区温泉大道1号
贵州,猴耳天坑风景区,,0,28,32,贵州·贵阳·开阳县,"107.013912,27.091371",上千万年的喀斯特地质天坑，形状奇特,FALSE,贵州省贵阳市开阳县城关镇石头村桃子窝
贵州,云溪汤泉,,0,98,30,贵州·黔东南,"107.939935,26.51187",专为喧嚣中的都市人打造的养生秘境,FALSE,贵州省凯里市舟溪镇新光村云谷田园生态园
贵州,石阡古温泉水上乐园,4A,0,110,30,贵州·铜仁·石阡县,"108.234379,27.518316",中国古老的温泉之一,FALSE,贵州省铜仁市石阡县汤山镇温泉社区
贵州,清江阁游船清江湖码头,,0,70,28,贵州·黔东南·剑河县,"108.489332,26.739538",清江阁主体为钢结构玻璃幕墙，占地面积5270平方米，建筑总高26米，既是清江湖游客服务中心，又是剑河县旅游服务综合体及游,FALSE,贵州省黔东南苗族侗族自治州剑河县高速路出口处清江阁服务中心
贵州,遵义海洋世界,,0,115,28,贵州·遵义·汇川区,"106.911028,27.702731",游乐、观赏、科研、环保、教育和生物救护,FALSE,贵州遵义汇川区温州路自游港·奥特莱斯广场B区L3
贵州,镇远,,4.6,14.8,26,贵州·黔东南·镇远县,"108.429895,27.055759",历史文化名城,FALSE,贵州省黔东南苗族侗族自治州镇远县顺城路镇远
贵州,大明边城,,0,70,26,贵州·铜仁·铜仁市,"109.218094,27.718141",展示明朝以来贵州600年历史文化,FALSE,贵州省铜仁地区铜仁市大明边城景区
贵州,剑河温泉城,,3.8,89,26,贵州·黔东南·凯里市,"108.500768,26.773715",苗乡圣水，常浴可治疗和预防多种疑难病症,FALSE,贵州省黔东南凯里市
贵州,苗妹非遗博物馆,,0,80,24,贵州·黔东南·凯里市,"107.881164,26.526531",展现苗族历史文化的博物馆,FALSE,贵州省黔东南自治州凯里市凯里经济开发区开元大道
贵州,汇川国际温泉城,,0,88,24,贵州·遵义·汇川区,"106.947444,27.775288",天赋神汤，温泉中的黄金,FALSE,贵州省遵义市汇川区汇川大道旁(红河北路与金沙江路交汇处)
贵州,都匀金图海洋公园,,0,74.5,24,贵州·黔南·都匀市,"107.516635,26.311553",黔南州家门口的海洋馆，欢迎带小朋友来玩。,FALSE,贵州省黔南市都匀市都匀东方记忆文化街区
贵州,龙里大草原,,3.9,40,24,贵州·黔南·龙里县,"106.891562,26.335588",身处贵州，却能体验到异样的蒙古风情,FALSE,贵州省黔南布依族苗族自治州龙里县草原乡
贵州,贵州茅台天酿景区,,0,30,22,贵州·遵义·茅台镇,"106.37282,27.856919",感受茅台酒酿造所需的地理环境,FALSE,贵州省遵义市仁怀市茅台镇长征路31号
贵州,十二背后·双河谷景区,,0,61,22,贵州·遵义·绥阳县,"107.287473,28.252988",双河谷由地下河谷、天坑、石膏洞组成，拥有丰富的地下岩溶地貌。“国内唯 一地下河谷”、“中国天坑第 一瀑”、“地下梯田奇观,FALSE,遵义市绥阳县温泉镇双河村
贵州,水湄花谷,,0,28,22,贵州·遵义·湄潭县,"107.495736,27.931265",水湄花谷园区位于湄潭县洗马镇辖区内，比邻洗马镇政府所在地，占地面积近5000亩，含春、夏、秋、冬四园，四季赏花。园区地势,FALSE,遵义市湄潭县洗马镇县道360旁
贵州,贵御温泉旅游区,4A,0,75,22,贵州·贵阳·乌当区,"106.777159,26.622163",黔中秘境带给你不一般的享受,FALSE,贵州省贵阳市乌当区温泉路555号
贵州,赤水丹霞旅游区·佛光岩,5A,0,72,20,贵州·遵义·赤水丹霞旅游区,"105.975946,28.395717",集新、奇、险、秀、幽、野六大特色为一体,FALSE,贵州省遵义市赤水市元厚镇境内
贵州,思达遵义游乐园,,0,98,20,贵州·遵义·红花岗区,"106.921523,27.63089",大型游乐主题乐园！,FALSE,贵州遵义市红花岗区湘江大道遵义国际商贸城展示中心对面
辽宁,大连圣亚海洋世界,4A,4.1,98,2213,辽宁·大连·沙河口区,"121.577602,38.884644",乐游星海湾，大连浪漫地标,FALSE,辽宁省大连市沙河口区中山路608-6-8号（星海广场西500米，星海公园内）
辽宁,老虎滩海洋公园,5A,4.5,153,1086,辽宁·大连·中山区,"121.682278,38.88534",一揽湾区山海，遍赏极地海洋,FALSE,辽宁省大连市中山区滨海中路9号
辽宁,大连森林动物园,4A,3.6,55,962,辽宁·大连·西岗区,"121.618712,38.887983",大熊猫金虎、妙音、飞云与您共度欢乐时光！,FALSE,大连市西岗区迎春路60号（圈养区），大连市西岗区滨海西路79号（散养区）
辽宁,海昌发现王国,,0,56,782,辽宁·大连·金石滩旅游度假区,"121.998989,39.083584",发现快乐，发现王国,FALSE,辽宁省大连市金州区金石路36号金石滩国家旅游度假区
辽宁,沈阳故宫,4A,3.5,54,662,辽宁·沈阳·沈河区,"123.462202,41.804471",观皇家宫苑，赏珍宝文物,FALSE,辽宁省沈阳市沈河区沈阳路171号
辽宁,鞍山千山,5A,4.5,71.8,526,辽宁·鞍山·千山区,"123.11642,41.005088",无穷无尽的天然画卷,FALSE,辽宁省鞍山市千山区千山东路79号
辽宁,沈阳森林动物园,4A,0,76,486,辽宁·沈阳·沈阳棋盘山风景区,"123.689555,41.939773",生机勃勃的森林野生动物园,FALSE,辽宁省沈阳市棋盘山国际风景旅游开发区内
辽宁,沈阳方特欢乐世界,,0,280,460,辽宁·沈阳·沈北新区,"123.425169,41.971468",东北地区第四代主题公园,FALSE,辽宁省沈阳市市沈北新区道义开发区盛京大街55号
辽宁,丹东凤凰山,4A,3.6,69,272,辽宁·丹东·凤城市,"124.078062,40.403008",平辽王神弓射箭眼，一箭定辽东之地,FALSE,辽宁省丹东市凤城市郊东南3公里处
辽宁,大连英歌石植物园,,0,59,250,辽宁·大连·旅顺口区,"121.366785,38.904189",中国山水画般美丽、世外桃源般沉静的景致,FALSE,辽宁大连旅顺口区旅顺中路南侧山谷里（距市区20公里，沿中路西行，过鞍子岭隧道3公里）
辽宁,本溪水洞,5A,5,110,250,辽宁·本溪·本溪县,"124.090355,41.308561",石奇，松秀，大气磅礴的“北国小黄山”,FALSE,辽宁省本溪市本溪满族自治县谢家崴子村
辽宁,沈阳世博园,5A,3.5,42,248,辽宁·沈阳·浑南区,"123.66082,41.871658",植物种类多的让你眼花缭乱,FALSE,辽宁省沈阳市浑南区近郊高坎镇中马村双园路301号
辽宁,旅顺203樱花园,,0,28,224,辽宁·大连·旅顺口区,"121.239859,38.83032",踏青游春、观赏樱花,FALSE,辽宁省大连市旅顺口区石板桥二〇三景区
辽宁,张氏帅府,4A,4,0.9,222,辽宁·沈阳·沈河区,"123.464684,41.800237",张学良的官邸和私宅,FALSE,辽宁省沈阳市沈河区朝阳街少帅府巷46号
辽宁,大连三寰牧场,,0,50,198,辽宁·大连,"121.360785,38.905857",体验理想化的小镇生活。,FALSE,辽宁省大连市旅顺口区旅顺中路英歌石植物园对面的三寰牧场
辽宁,鲅鱼湾魔法温泉公园,,0,99,64,辽宁·营口·鲅鱼圈区,"0.0,0.0",营口鲅鱼湾魔法温泉就是——以“儿童”为核心的家庭度假地。营口鲅鱼湾魔法温泉公园由辽宁红运集团建设，位于营口市鲅鱼圈区山海,FALSE,营口市鲅鱼圈区辽东湾大街西(山海广场转盘南行500米)
辽宁,青岩寺风景区,,5,3,60,辽宁·锦州·北镇市,"121.633058,41.467058",建筑位置险要，结构布局奇特,FALSE,辽宁省锦州市北镇市
辽宁,老帽山,,3.5,25,58,辽宁·大连·普兰店市,"122.297139,39.947289",秀丽的山峦和奇松异石景观,FALSE,辽宁省大连普兰店市同益乡庆阳村北部
辽宁,参仙谷生态旅游度假区,,0,65,58,辽宁·抚顺·新宾县,"124.841197,41.72128",感受自然，做参仙谷主,FALSE,辽宁省抚顺市新宾满族自治县林场
辽宁,大连棠梨乐游谷,,0,100,58,辽宁·大连·甘井子区,"121.469475,38.94648","大连西郊国家森林公园棠梨乐游谷

已完成建设生态深度体验区，重点建设

停车场、游客服务中心、天空玻璃桥、悬崖秋千、

",FALSE,辽宁省大连市甘井子区红旗西路七葫芦沟内
辽宁,本溪康溪理疗温泉度假区,,0,85,52,辽宁·本溪,"124.203245,41.086343",温泉养生，休闲度假，康复理疗等你来！,FALSE,本溪市经济技术开发区孙思邈大街62号
辽宁,星海湾跨海大桥,,0,99,52,辽宁·大连·西岗区,"121.574117,38.880683",“七纵七横”道路网中的重要一横,FALSE,辽宁省大连市西岗区星海湾跨海大桥
辽宁,万佛堂石窟,3A,3.7,35,52,辽宁·锦州·义县,"121.172602,41.581431",为辽西地区的一个别有韵味的旅游景点,FALSE,辽宁省锦州市义县头台乡万佛堂村
辽宁,北普陀山,4A,3.8,39.7,48,辽宁·锦州·太和区,"121.067517,41.170701",关外一座闻名的佛山,FALSE,辽宁省锦州市古塔区北普陀山风景名胜区
辽宁,辽宁朝阳鸟化石地质公园,4A,3.6,78.9,48,辽宁·朝阳·龙城区,"120.392028,41.602549",世界上著名的古生物化石宝库,FALSE,辽宁省朝阳市朝阳龙城区龙鸟大街100号
辽宁,黑风关古镇,,0,9.9,46,辽宁·盘锦·大洼县,"122.203729,41.12224",黑风关古镇坐落在新立镇政府，位于盘锦市区的东侧，与辽河油田供应处相毗邻，是盘锦市和辽河油田向东部延伸和发展的前沿龙头。这,FALSE,大洼县新立镇政府西300米
辽宁,碧湖温泉度假村,,0,48.4,44,辽宁·辽阳·弓长岭区,"123.368478,41.120059",北欧异域风情，一个宁静致远的驿站,FALSE,辽阳市弓长岭区汤河镇柳河村
辽宁,营口熊岳天沐温泉,,0,78,40,辽宁·营口·鲅鱼圈区,"122.171747,40.170222",辽宁温泉度假目的地,FALSE,辽宁省营口市经济技术开发区熊岳镇温泉村铁东街
辽宁,大连贝壳博物馆,,3.7,65,38,辽宁·大连·沙河口区,"121.594737,38.878651",各类珍稀贝壳的观赏地,FALSE,辽宁省大连市沙河口区星海广场东南角
辽宁,怪坡东北虎园,,0,69,38,辽宁·沈阳·怪坡,"123.638464,42.075783",保护野生动物，就是保护我们人类自己,FALSE,辽宁省沈阳市沈北新区杭州路83-3号怪坡风景区内
辽宁,怪坡,4A,3.7,35,38,辽宁·沈阳·沈北新区,"123.648785,42.064624",怪坡面世，旅游谜地挑战你的世界观,FALSE,辽宁省沈阳市新城子区清水台镇拥屯村
辽宁,花溪沐温泉,,0,50,36,辽宁·本溪·本溪县,"124.202854,41.08573",纯正地下温泉水，享受日式温泉,FALSE,辽宁省本溪市本溪满族自治县辽宁省本溪满族自治县东湖（关门山水库）源头、辽宁汤沟国际温泉旅游度假区核心区
辽宁,朝阳凤凰山,4A,5,56,36,辽宁·朝阳·双塔区,"120.484954,41.556157",商周遗韵、晋宋风情，千年佛教名山圣地,FALSE,辽宁省朝阳市城区东部4公里处
辽宁,丹东天沐君澜温泉度假酒店,,0,139,34,辽宁·丹东·凤城市,"124.310442,40.42176",于四季之中，尽享暖心之泉,FALSE,辽宁省丹东市凤城市东汤镇东汤双诚宾馆西侧200米
辽宁,大芦花风景区,4A,0,30,34,辽宁·锦州·北镇市,"121.65216,41.51947",芦苇丛生，深秋季节芦花漫舞，景色怡人,FALSE,辽宁省锦州北镇市鲍家乡桃源村
辽宁,浴龙谷温泉度假村,,0,67,34,辽宁·朝阳·喀左,"119.684308,41.055966",深层矿泉，消除疲劳、护肤养颜、美容瘦身,FALSE,辽宁省朝阳市喀左县浴龙谷温泉度假村
辽宁,金石滩旅游度假区,5A,4.6,25,34,辽宁·大连·金州区,"122.012502,39.091863",凝固的动物世界，天然的地质博物馆,FALSE,辽宁省大连市金州区丹枫路金石滩国家旅游度假区
辽宁,红海滩国家风景廊道,5A,0,28,32,辽宁·盘锦·大洼县,"121.852044,40.90826",中国十大魅力湿地之首，自驾游的好去处,FALSE,辽宁省盘锦市大洼区赵圈河镇红海滩国家风景廊道
辽宁,汤景泽日式温泉,,0,98,32,辽宁·大连,"121.965092,39.080037",放松身体，放松心情,FALSE,辽宁省大连市金石滩滇池西路88号
辽宁,奉国寺,4A,3.8,45,32,辽宁·锦州·义县,"121.25479,41.54933",一座宏伟壮观、保存较为完整的古代寺院,FALSE,辽宁省锦州市义县东街18号
辽宁,辽中花溪地温泉生态乐园,,0,39,32,辽宁·沈阳,"122.975805,41.690251",一座休闲度假庄园,FALSE,辽宁省沈阳市辽中县杨士岗镇佑户坨村
辽宁,米尼动物王国,,0,49,30,辽宁·大连·沙河口区,"121.593981,38.923105",开在商场里的动物乐园,FALSE,辽宁大连市沙河口区福佳新天地三楼
辽宁,辽宁赛马天锅古洞景区,,0,70,30,辽宁·丹东·凤城市,"124.324389,41.013995",温洞景区奇尊世间、独步天下。,FALSE,辽宁省丹东市凤城市赛马镇温洞村
辽宁,俄罗斯风情街,,4.1,79,28,辽宁·大连·西岗区,"121.64374039285,38.933216403857",感受到古典欧洲的浪漫情怀,FALSE,大连市西岗区的胜利桥北
辽宁,白玉山,4A,3.7,0.5,28,辽宁·大连·旅顺口区,"121.264465,38.81533",将秀美壮观的军港和威武的舰队尽收眼底,FALSE,辽宁大连市旅顺口区白玉山街158号（南道票口）
辽宁,营口熊岳忆江南温泉,,0,85,26,辽宁·营口·熊岳植物园,"122.163593,40.182647",温泉水质独特，为高温医疗矿泉水,FALSE,辽宁省营口市鲅鱼圈区熊岳镇古城东南熊岳植物园内
辽宁,龙润夏宫温泉水乐园,,0,38,26,辽宁·沈阳·铁西区,"123.048747,41.701804",休闲娱乐、商务洽谈、怡养身心的场所,FALSE,辽宁省沈阳市铁西区高花高速出口高花镇张福安村
辽宁,旅顺开世温泉,,0,83,26,辽宁·大连·旅顺口区,"121.193939,38.919111",融汇了中国古代的草本养生温泉,FALSE,辽宁省大连市旅顺北海镇李家沟村石门山景区
辽宁,闯关东影视城,3A,0,149,24,辽宁·大连·旅顺口区,"121.243299,38.837536",亲身感受《闯关东》那段波澜壮阔的历史,FALSE,辽宁省大连市旅顺水师营街道三里桥村清风小镇
辽宁,朝阳化石谷,,0,21.4,24,辽宁·朝阳·龙城区,"120.417088,41.598489",世界化石宝库和化石王国,FALSE,辽宁省朝阳市龙城区传奇路1号
辽宁,葫芦古镇旅游度假区,4A,3.8,45,24,辽宁·葫芦岛·龙港区,"120.950722,40.787487",葫芦文化的旅游景区,FALSE,辽宁省葫芦岛市葫芦岛经济开发区
辽宁,水云涧温泉旅游度假区,,0,53,22,辽宁·大连·金州区,"121.77001,39.349617",型休闲旅游度假村,FALSE,辽宁省大连市金州区三十里堡街道三道湾街区水云涧温泉旅游度假区
辽宁,九一八历史博物馆,4A,4,1.1,22,辽宁·沈阳·大东区,"123.472796,41.840604",再现我国取得抗日战争胜利的历史画卷,FALSE,辽宁省沈阳市大东区望花南街46号
辽宁,盘锦七彩庄园,,0,30,22,辽宁·盘锦·双台子区,"122.091151,40.958876",现代农业生态观光旅游景区,FALSE,辽宁省盘锦市大洼县王家镇七彩庄园
辽宁,大连森林动物园摩天轮,,0,55,22,辽宁·大连·大连森林动物园,"121.619193,38.879171",如果只能选择一处欣赏大连，你会选择在哪里？大连森林动物园“浪漫之星”摩天轮位于大连森林动物园散养区入口，与森林大海，三千,FALSE,大连市西岗区大连森林动物园内
辽宁,有轨电车,,0,79,20,辽宁·大连·沙河口区,"121.596234,38.923619",体验大连旧时光，坐承载大连历史的有轨电车,FALSE,辽宁省大连市沙河口区兴工街与西安路口（201、202路车终点站）
辽宁,东海公园,,0,79,20,辽宁·大连·中山区,"121.717372,38.906007",群山、碧海、怪石连为一体，风光独特,FALSE,辽宁省大连市中山区滨海北路
辽宁,锦州医巫闾山,,0,61,20,辽宁·锦州·北镇市,"121.626713,41.513256",像一幅恢弘博大的泼墨画卷,FALSE,辽宁省锦州市北镇西义县东
辽宁,日俄监狱旧址,4A,3.6,149,20,辽宁·大连·旅顺口区,"121.271863,38.831197",保存完好，历史内涵丰富，具有鲜明国际性,FALSE,辽宁省大连市旅顺口区向阳街139号
辽宁,海棠山,4A,5,45,18,辽宁·阜新·阜蒙县,"121.858507,41.943582",种种奇观异象等待您来探寻,FALSE,辽宁省阜新市阜新蒙古族自治县大板镇
重庆,重庆长江索道,4A,0,30,2412,重庆·重庆·渝中区,"106.589285,29.563863",万里长江的一条空中走廊，俯瞰滚滚长江,FALSE,重庆市渝中区新华路151号
重庆,重庆动物园,4A,3.5,24,1846,重庆·重庆·九龙坡区,"106.512498,29.509242",走进动物世界，感受大自然其乐无穷,FALSE,重庆市九龙坡杨家坪西郊路35号动物园轻轨车站转盘处
重庆,武隆仙女山国家森林公园,5A,4.1,50,1310,重庆·重庆·武隆天坑地缝国家地质公园,"107.755105,29.500941",又一个仙女下凡调戏牧童的故事,FALSE,重庆市武隆县境乌江北岸双河乡
重庆,重庆两江夜游,,0,70,1258,重庆·重庆·渝中区,"106.595811,29.569354",不览夜景，未到重庆,FALSE,重庆市渝中区朝天门一码头
重庆,武隆天生三桥风景区,5A,3.6,125,1100,重庆·重庆·武隆天坑地缝国家地质公园,"107.811189,29.435993",变形金刚大战黄金甲,FALSE,重庆市武隆县龙桥街巷口镇芙蓉路88号
重庆,武隆天坑地缝国家地质公园,5A,0,50,970,重庆·重庆·武隆县,"107.773314,29.423324",反映地球演化历史的杰出范例,FALSE,重庆市武隆县银杏大道武隆喀斯特旅游区
重庆,朝天门,,0,80,812,重庆·重庆·渝中区,"108.645189,31.029858",重庆十大文化符号”之一,FALSE,重庆市渝中区渝中半岛嘉陵江与长江交汇处
重庆,磁器口古镇,4A,4,54,704,重庆·重庆·沙坪坝区,"106.458175,29.585837",古色古香，人文荟萃，风景优美,FALSE,重庆市沙坪坝区磁南街1号
重庆,重庆解放碑,,4.1,15,586,重庆·重庆·渝中区,"106.583254,29.563903",解放碑是重庆的标志建筑物之一，位于重庆市渝中区民权路、民族路和邹容路交汇处。这座塔楼式的碑体见证着抗战胜利和重庆解放的沧,FALSE,重庆市渝中区民权路、民族路和邹容路交汇处
重庆,重庆欢乐谷,4A,0,180,494,重庆·重庆·渝北区,"106.521091,29.671569",不可错过的欢乐世界,FALSE,重庆市渝北区金渝大道29号重庆欢乐谷
重庆,重庆园博园,4A,0,15,464,重庆·重庆·渝北区,"106.56312,29.691759",一个集自然和人文景观为一体的生态公园,FALSE,重庆市渝北区龙景路1号
重庆,南山一棵树观景台,,0,27,362,重庆·重庆·南岸区,"106.608521,29.551415",此处为著名的观重庆夜景佳处,FALSE,重庆南岸区龙黄公路半山一棵树观景园
重庆,乌江画廊,,0,130,346,重庆·重庆·酉阳县,"108.221278,29.197321",“千里乌江，百里画廊”,FALSE,重庆市彭水苗族土家族自治县猴子山隧道
重庆,湖广会馆,4A,3.6,23,338,重庆·重庆·渝中区,"106.593781,29.564524",一馆缩影江南明清遗风,FALSE,重庆市渝中区长滨路芭蕉园1号湖广会馆
重庆,两江夜游·金碧系列游船,,0,80,330,重庆·重庆·重庆两江夜游,"106.595761,29.569329",融合巴渝历史文化，彰显重庆民俗风貌,FALSE,重庆市渝中区朝天门码头
重庆,印象武隆,,0,200,310,重庆·重庆·武隆县,"107.831039,29.462562",青山秀水中领略川蜀人情,FALSE,重庆市武隆县距仙女山镇8公里的桃园大峡谷
重庆,乐和乐都主题公园,,0,158,278,重庆·重庆·永川区,"105.910184,29.295951",您和孩子开怀大笑的好去处,FALSE,重庆永川区卫星湖街道凤龙路999号
重庆,乐和乐都主题公园（重庆野生动物世界）,4A,0,158,266,重庆·重庆·乐和乐都主题公园,"105.914174,29.296841",突出“回归自然”的主题,FALSE,重庆市永川区卫星湖街道凤龙路999号
重庆,洪崖洞,4A,4.2,15,264,重庆·重庆·渝中区,"106.584386,29.567956",老重庆的真实写照，极具巴渝传统特色,FALSE,重庆市渝中区嘉滨路88号
重庆,梦幻奥陶纪,,0,210,242,重庆·重庆·万盛区,"106.960039,28.84188",穿越5亿年，探索神奇远古寒冰洞,FALSE,重庆市綦江区万盛黑山谷南门上行5公里—梦幻奥陶纪景区
重庆,重庆汉海海洋公园,,0,1,238,重庆·重庆·巴南区,"106.550476,29.399662",休闲娱乐和海洋科普基地,FALSE,重庆市巴南区嘉龙路133号
重庆,重庆两路口皇冠大扶梯,,0,20,236,重庆·重庆·渝中区,"106.555448,29.558697",重庆特色交通,FALSE,重庆市渝中区两路口中山三路与长江一路交汇处
重庆,大足石刻,5A,3.9,110,222,重庆·重庆·大足县,"105.716678,29.718935",欣赏真正的“千手”观音,FALSE,重庆市大足县龙岗镇北山路7号
重庆,龙水峡地缝,3A,3.5,105,222,重庆·重庆·武隆天坑地缝国家地质公园,"107.799067,29.408789",天坑地缝不分家,FALSE,重庆市武隆县仙女山南麓
重庆,渣滓洞,,3.9,2.8,218,重庆·重庆·沙坪坝区,"106.439082,29.59244",原是重庆郊外的一个小煤窑,FALSE,重庆市沙坪坝区渣滓洞凌云路歌乐山烈士陵园附近
